GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,ec.edu.uteq.sgroas.entity,EstadoConductor,0,21,0,0,0,4,0,1,0,1
,ec.edu.uteq.sgroas.entity,Rol,0,21,0,0,0,4,0,1,0,1
,ec.edu.uteq.sgroas.dto,ErrorResponse,21,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.dto,ConductorResponse,0,45,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RegisterRequest,15,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.dto,AuthResponse,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RefreshTokenRequest,6,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.dto,ConductorRequest,0,30,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.config,OpenApiConfig,0,38,0,0,0,12,0,2,0,2
,ec.edu.uteq.sgroas.config,RedisConfig,0,25,0,0,0,6,0,3,0,3
,ec.edu.uteq.sgroas.config,SecurityConfig,0,147,0,0,0,27,0,9,0,9
,ec.edu.uteq.sgroas.config,CacheConfig,0,35,0,0,0,14,0,2,0,2
,ec.edu.uteq.sgroas.exception,GlobalExceptionHandler,110,3,0,0,29,1,5,1,5,1
,ec.edu.uteq.sgroas,SgroasApplication,5,3,0,0,2,1,1,1,1,1
,ec.edu.uteq.sgroas.security,JwtAuthenticationFilter,109,0,22,0,28,0,12,0,1,0
,ec.edu.uteq.sgroas.security,JwtService,123,3,4,0,30,1,12,1,10,1
,ec.edu.uteq.sgroas.security,CustomUserDetailsService,30,0,0,0,7,0,2,0,2,0
,ec.edu.uteq.sgroas.controller,ConductorController,36,0,0,0,7,0,5,0,5,0
,ec.edu.uteq.sgroas.controller,AuthController,108,0,2,0,34,0,7,0,6,0
,ec.edu.uteq.sgroas.service,ConductorService,147,150,10,6,33,47,11,10,5,8
,ec.edu.uteq.sgroas.service,AuthService,103,58,2,2,25,14,7,3,6,2
,ec.edu.uteq.sgroas.service,TokenService,89,0,4,0,24,0,7,0,5,0
